timestamp,levelPlayID,playerId,timePlayed,TotalScore,MapScore,MapScorePercentage,enemiesKilledPct,HealthBarrelsTaken,PowerUpsTaken,AvgEnemiesAliveOnPowerUpTaken,lootTakenPct,deaths,bowmanTime,knightTime,berserkerTime,bowLightAtk,bowHeavyAtk,bowLightDash,bowHeavyDash,bowDefense,knightLightAtk,knightHeavyAtk,knightLightDash,knightHeavyDash,knightDefense,berserkLightAtk,berserkHeavyAtk,berserkLightDash,berserkHeavyDash,berserkDefense,damageTakenMelee,damageTakenRanged,damageTakenGuardianShield,damageTakenTraps,BowLightAttacksMeleeEnemy,BowHeavyAttacksMeleeEnemy,BowHeavyDashesMeleeEnemy,BowLightAttacksRangedEnemy,BowHeavyAttacksRangedEnemy,BowHeavyDashesRangedEnemy,BowLightAttacksBomberEnemy,BowHeavyAttacksBomberEnemy,BowHeavyDashesBomberEnemy,BowLightAttacksAssassinEnemy,BowHeavyAttacksAssassinEnemy,BowHeavyDashesAssassinEnemy,BowLightAttacksGuardianEnemy,BowHeavyAttacksGuardianEnemy,BowHeavyDashesGuardianEnemy,KnightLightAttacksMeleeEnemy,KnightHeavyAttacksMeleeEnemy,KnightHeavyDashesMeleeEnemy,KnightLightAttacksRangedEnemy,KnightHeavyAttacksRangedEnemy,KnightHeavyDashesRangedEnemy,KnightLightAttacksBomberEnemy,KnightHeavyAttacksBomberEnemy,KnightHeavyDashesBomberEnemy,KnightLightAttacksAssassinEnemy,KnightHeavyAttacksAssassinEnemy,KnightHeavyDashesAssassinEnemy,KnightLightAttacksGuardianEnemy,KnightHeavyAttacksGuardianEnemy,KnightHeavyDashesGuardianEnemy,BerserkerLightAttacksMeleeEnemy,BerserkerHeavyAttacksMeleeEnemy,BerserkerHeavyDashesMeleeEnemy,BerserkerLightAttacksRangedEnemy,BerserkerHeavyAttacksRangedEnemy,BerserkerHeavyDashesRangedEnemy,BerserkerLightAttacksBomberEnemy,BerserkerHeavyAttacksBomberEnemy,BerserkerHeavyDashesBomberEnemy,BerserkerLightAttacksAssassinEnemy,BerserkerHeavyAttacksAssassinEnemy,BerserkerHeavyDashesAssassinEnemy,BerserkerLightAttacksGuardianEnemy,BerserkerHeavyAttacksGuardianEnemy,BerserkerHeavyDashesGuardianEnemy,GeometryBehavior,FurnishingBehaviorSpread,FurnishingBehaviorRatio,EnemyBehaviorRatio,EnemyBehaviorDifficulty,AttackSpeedMultiplier,MovementSpeedMultiplier,DamageMultiplier,FormChangeCount,FormChangeCountInCombat,OptionalRoomPercentage,AverageDistanceToMainPath,AverageDistanceToWall,AverageDistanceToEnemies,BowDefenseToMelee,BowDefenseToRanged,BowDefenseToBomber,BowDefenseToAssasssin,BowDefenseToGuardian,KnightDefenseToMelee,KnightDefenseToRanged,KnightDefenseToBomber,KnightDefenseToAssasssin,KnightDefenseToGuardian,BerserkerDefenseToMelee,BerserkerDefenseToRanged,BerserkerDefenseToBomber,BerserkerDefenseToAssasssin,BerserkerDefenseToGuardian,POTakePct,HPTakePct,AvgEneAliveOnPOTakePct
3/11/2026 19:32:48,,ae8fbea3c9e4b88052ecb444da7e988c11219a4a,33.69843674,890,890,89,100,16,14,2.357142925,60,0,13.50471497,20.19371223,0,17,1,0,0,0,1,7,1,1,0,0,0,0,0,0,20,20,0,20,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,2.200000048,1.200000048,1.599999905,3,2,0,5.969207764,3.575847864,5.912738323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77777778,33.33333333,47.14285851
3/11/2026 19:37:02,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,26.9787178,560,560,56,40,24,6,4.333333492,30,0,25.86732483,1.111421466,0,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,99.75,10,25,0,0,0,0,0,0,1,5,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.299999952,1.100000024,1.449999928,2,0,0,0.528724134,2.753683805,8.002779961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,25,86.66666985
3/11/2026 19:43:43,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,39.21989822,800,800,80,100,19,11,4.272727489,56.66666794,0,26.28523445,2.257961988,10.67674065,4,3,12,0,0,0,0,0,1,0,1,4,5,0,0,20,43.125,20,25,0,0,0,5,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,3,1,1,4,1,63,1,1.599999905,1.200000048,1.749999881,7,5,0,3.992431164,3.087701559,6.933491707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.11111111,50,85.45454979
3/11/2026 19:45:27,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,46.27879715,800,800,80,100,19,11,4.545454502,50,0,31.95741463,3.487082243,10.8343792,12,4,13,0,0,0,0,0,1,0,0,7,4,0,0,0,71.75,15,35,0,0,0,2,2,0,1,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,6,1,1,4,1,63,1,1.749999881,1.300000072,1.449999928,7,5,0,2.641774654,2.830927372,6.783465862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.11111111,33.33333333,90.90909004
3/11/2026 19:49:23,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,59.71920395,650,650,65,80,23,7,5,30,0,43.50352859,2.235239744,13.98041916,12,6,11,0,0,0,0,0,1,0,10,3,6,0,0,0,89,10,0,0,0,0,2,4,0,3,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,7,3,1,1,4,1,63,1,1.449999928,1.300000072,1.149999976,9,7,0,0.4017440379,2.213943481,7.335430622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.88888889,16.66666667,100
3/11/2026 19:53:41,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,41.01999283,740,740,74,80,20,10,4.699999809,50,1,8.924909592,5.619922638,26.4751091,5,2,1,0,0,0,0,0,2,0,19,1,15,1,1,0,60,10,80,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,4,1,1,4,0,0,12,1,4,1,4,1,63,1,1.449999928,1.500000119,1.299999952,9,8,0,2.452512741,2.374999046,4.970353127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55.55555556,41.66666667,93.99999619
3/11/2026 19:57:20,,acd6748b16be8befc8dde0dfd1c6435977668611,68.79936218,860,860,86,100,17,13,2.076923132,63.33333206,0,11.54015827,57.25944901,0,6,2,1,0,0,22,0,1,2,2,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,4,3,0,2,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.449999928,1.400000095,1.899999857,3,2,0,7.076611519,4.761860371,4.596984863,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,72.22222222,50,41.53846264
3/11/2026 20:00:07,,66bf3904a888996059feaa41cce115279150ee69,86.87919617,1010,1010,101,100,12,18,2.222222328,100,1,61.03564453,0,25.84405518,25,0,1,0,0,0,0,0,0,0,23,0,2,0,0,0,30.875,25,20,0,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,4,1,63,1,1.449999928,1.800000191,2.049999952,3,2,0,7.633500576,4.630544186,2.831277847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,44.44444656
3/11/2026 20:05:04,,001498f3b9735fac297f30283631bd37e5e47dd2,103.6790848,980,980,98,80,12,18,2.555555582,100,0,50.83628464,4.053762913,48.78867722,48,0,0,0,0,2,0,0,0,0,49,0,2,0,1,0,59.25,15,20,0,0,0,4,0,0,2,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,11,0,0,1,4,1,63,1,2.200000048,1.600000143,1.599999905,12,10,0,6.705733299,4.662368298,6.437731266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,51.11111164
3/11/2026 20:07:50,,0d2fe49801ff1425da31c346ef3e2c481998a480,117.4404984,920,920,92,80,14,16,1.5,90,1,50.10663605,60.90480423,6.428762913,46,2,1,0,1,9,7,3,0,5,2,1,0,0,0,20,92.5,40,15,0,0,0,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.449999928,1.900000215,1.599999905,11,11,0,8.593568802,4.658418179,3.221178293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88.88888889,91.66666667,30
