timestamp,levelPlayID,playerId,timePlayed,TotalScore,MapScore,MapScorePercentage,MapSkipped,enemiesKilledPct,HealthBarrelsTaken,PowerUpsTaken,AvgEnemiesAliveOnPowerUpTaken,lootTakenPct,deaths,bowmanTime,knightTime,berserkerTime,bowLightAtk,bowHeavyAtk,bowLightDash,bowHeavyDash,bowDefense,knightLightAtk,knightHeavyAtk,knightLightDash,knightHeavyDash,knightDefense,berserkLightAtk,berserkHeavyAtk,berserkLightDash,berserkHeavyDash,berserkDefense,damageTakenMelee,damageTakenRanged,damageTakenGuardianShield,damageTakenTraps,BowLightAttacksMeleeEnemy,BowHeavyAttacksMeleeEnemy,BowHeavyDashesMeleeEnemy,BowLightAttacksRangedEnemy,BowHeavyAttacksRangedEnemy,BowHeavyDashesRangedEnemy,BowLightAttacksBomberEnemy,BowHeavyAttacksBomberEnemy,BowHeavyDashesBomberEnemy,BowLightAttacksAssassinEnemy,BowHeavyAttacksAssassinEnemy,BowHeavyDashesAssassinEnemy,BowLightAttacksGuardianEnemy,BowHeavyAttacksGuardianEnemy,BowHeavyDashesGuardianEnemy,KnightLightAttacksMeleeEnemy,KnightHeavyAttacksMeleeEnemy,KnightHeavyDashesMeleeEnemy,KnightLightAttacksRangedEnemy,KnightHeavyAttacksRangedEnemy,KnightHeavyDashesRangedEnemy,KnightLightAttacksBomberEnemy,KnightHeavyAttacksBomberEnemy,KnightHeavyDashesBomberEnemy,KnightLightAttacksAssassinEnemy,KnightHeavyAttacksAssassinEnemy,KnightHeavyDashesAssassinEnemy,KnightLightAttacksGuardianEnemy,KnightHeavyAttacksGuardianEnemy,KnightHeavyDashesGuardianEnemy,BerserkerLightAttacksMeleeEnemy,BerserkerHeavyAttacksMeleeEnemy,BerserkerHeavyDashesMeleeEnemy,BerserkerLightAttacksRangedEnemy,BerserkerHeavyAttacksRangedEnemy,BerserkerHeavyDashesRangedEnemy,BerserkerLightAttacksBomberEnemy,BerserkerHeavyAttacksBomberEnemy,BerserkerHeavyDashesBomberEnemy,BerserkerLightAttacksAssassinEnemy,BerserkerHeavyAttacksAssassinEnemy,BerserkerHeavyDashesAssassinEnemy,BerserkerLightAttacksGuardianEnemy,BerserkerHeavyAttacksGuardianEnemy,BerserkerHeavyDashesGuardianEnemy,GeometryBehavior,FurnishingBehaviorSpread,FurnishingBehaviorRatio,EnemyBehaviorRatio,EnemyBehaviorDifficulty,AttackSpeedMultiplier,MovementSpeedMultiplier,DamageMultiplier,FormChangeCount,FormChangeCountInCombat,OptionalRoomPercentage,AverageDistanceToMainPath,AverageDistanceToWall,AverageDistanceToEnemies,BowDefenseToMelee,BowDefenseToRanged,BowDefenseToBomber,BowDefenseToAssasssin,BowDefenseToGuardian,KnightDefenseToMelee,KnightDefenseToRanged,KnightDefenseToBomber,KnightDefenseToAssasssin,KnightDefenseToGuardian,BerserkerDefenseToMelee,BerserkerDefenseToRanged,BerserkerDefenseToBomber,BerserkerDefenseToAssasssin,BerserkerDefenseToGuardian,IsEasy,PowerUpsTakenPercent
5/4/2026 14:15:54,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,43.89901733,50,50,16.66666603,0,2.777777672,1,0,0,3.448275805,1,0,43.89901733,0,0,0,0,0,0,3,6,0,0,2,0,0,0,0,0,20,0,90,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,1,0,0,6.152244568,3.880087614,6.727722645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
5/4/2026 14:16:35,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,40.15939713,30,30,10,0,0,2,1,36,6.896551609,1,30.79486656,7.808727741,1.55595386,11,2,0,0,3,0,1,0,0,1,0,1,0,0,0,0,7.5,110,85,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,28,2,0,2.894224167,1.798244596,3.523712397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,,
5/4/2026 14:16:55,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,21.37921906,30,30,10,0,2.777777672,3,0,0,3.448275805,1,3.454037189,6.297122002,11.62802887,0,0,0,0,1,0,1,0,0,0,9,0,0,0,2,20,0,115,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,2,2,123,0,0,0,0,8,3,0,11.25110722,2.213876963,1.924157977,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,
5/4/2026 14:17:18,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,22.38142586,80,80,26.66666603,0,5.555555344,3,0,0,0,1,0,22.38142586,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,20,0,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,2,0,0,5.358593464,3.035651684,1.30480814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
5/4/2026 14:17:33,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,12.16201496,30,30,10,0,0,4,1,36,6.896551609,1,0,12.16201496,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,20,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,2,0,0,7.215605259,1.955008507,0.8160330057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,
5/4/2026 14:17:49,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,18.63750076,0,0,0,0,0,5,0,0,3.448275805,1,0,18.63750076,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,20,0,85,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,2,0,0,7.86770153,0.9358676076,0.8092566729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/4/2026 14:18:05,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,16.57261086,0,0,0,0,0,6,0,0,3.448275805,1,0,2.01735878,14.55527592,0,0,0,0,0,0,0,0,0,0,12,1,0,0,2,0,0,65,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,2,2,123,0,0,0,0,4,0,0,1.770390391,1.131989598,0.7216074467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/4/2026 14:18:16,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,11.26073551,30,30,10,0,2.777777672,7,0,0,3.448275805,1,0,11.25756454,0.003170301905,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,20,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,3,1,0,6.012334824,1.275473595,0.541546762,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,,
5/4/2026 14:20:29,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,128.7666931,770,770,256.6666565,0,44.44444275,15,3,30.33333397,37.93103409,1,17.02680397,111.7397461,0,4,0,1,1,0,27,31,26,4,0,0,0,0,0,0,20,15,185,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,2,25,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,17,13,0,8.254623413,2.144694328,4.170835018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,
5/4/2026 14:20:30,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,4.350231171,0,0,0,1,0,15,0,0,0,0,0,4.350231171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,123,0,0,0,0,2,0,0,0.1596228182,1.234811544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/4/2026 14:23:13,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,163.9105988,900,900,300,0,80.7692337,26,6,11.83333302,65.38461304,0,73.82073975,84.02082062,6.067490101,79,0,6,1,0,22,24,20,1,0,0,0,2,1,0,45,0,0,0,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,55,0,1.449999928,1.100000024,1.299999952,32,21,0,3.794124603,2.523102999,1.964789629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/4/2026 15:31:59,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,97.55924225,250,250,83.33333588,0,42.30769348,5,1,22,23.07692337,1,10.67895699,28.83043289,58.05013275,2,0,3,0,2,3,0,4,1,2,61,1,25,3,3,150,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,55,0,0,0,0,8,3,0,3.153184414,2.77862525,5.671192169,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,
5/4/2026 15:34:52,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,178.9198151,1120,1120,373.3333435,0,100,20,10,8.600000381,96.15384674,0,0,12.4912672,166.4289093,0,0,0,0,0,10,0,3,0,0,166,0,49,13,1,240,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86,0,28,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,55,0,1.449999928,1.300000072,1.599999905,3,1,0,7.132485867,2.622063875,3.808750153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/4/2026 15:36:59,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,126.1704254,750,750,250,0,52.38095093,22,3,31.66666603,45.45454407,1,0,126.1704254,0,0,0,0,0,0,79,1,12,8,6,0,0,0,0,0,100,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,20,0,0,0,0,2,0,0,2.277433634,1.582520366,2.679129362,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
5/4/2026 15:40:53,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,234.5279541,1740,1740,580,0,100,26,6,18.83333397,90.90908813,0,0,198.5905609,35.93774033,0,0,0,0,0,133,0,21,8,15,16,0,7,2,2,130,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,1,20,0,1,1.300000072,1.449999928,3,1,0,6.118455887,1.602317214,3.141643763,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,
5/4/2026 15:44:46,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,233.179718,1250,1250,416.6666565,0,77.77777863,41,11,17.54545403,92.85713959,0,0,93.42356873,139.7560577,0,0,0,0,0,52,0,16,6,3,124,0,27,12,2,105,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0,2,0,0,0,40,0,15,0,0,0,0,0,0,0,2,2,0,2,1.749999881,1.200000048,1.599999905,3,1,0,6.257182121,1.362859368,2.143114328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/4/2026 15:47:24,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,158.0583344,770,770,256.6666565,0,78.125,46,5,19.20000076,83.33333588,1,0,1.508007407,156.5499878,0,0,0,0,0,1,0,0,0,0,169,0,41,19,3,70,40,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,24,5,0,5,11,0,5,1,0,3,1,0,2,7,0,2,47,1,0,0,0,3,1,0,6.196800232,2.278967857,1.266506314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
5/4/2026 15:47:39,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,15.38796711,70,70,23.33333397,1,9.375,46,0,0,0,0,0,6.96591711,8.422079086,0,0,0,0,0,4,0,0,0,0,13,0,0,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,47,1,0,0,0,3,1,0,1.098053455,3.249515295,0.0860843733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
5/4/2026 15:48:47,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,68.05440521,550,480,160,0,22.22222137,53,4,33.75,37.93103409,1,0,0,68.05440521,0,0,0,0,0,0,0,0,0,0,25,0,11,7,0,0,0,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,31,9,2,2,123,0,0,0,0,0,0,0,7.380351543,2.110168934,0.5093262196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
