timestamp,levelPlayID,playerId,timePlayed,TotalScore,MapScore,MapScorePercentage,enemiesKilledPct,HealthBarrelsTaken,PowerUpsTaken,AvgEnemiesAliveOnPowerUpTaken,lootTakenPct,deaths,bowmanTime,knightTime,berserkerTime,bowLightAtk,bowHeavyAtk,bowLightDash,bowHeavyDash,bowDefense,knightLightAtk,knightHeavyAtk,knightLightDash,knightHeavyDash,knightDefense,berserkLightAtk,berserkHeavyAtk,berserkLightDash,berserkHeavyDash,berserkDefense,damageTakenMelee,damageTakenRanged,damageTakenGuardianShield,damageTakenTraps,BowLightAttacksMeleeEnemy,BowHeavyAttacksMeleeEnemy,BowHeavyDashesMeleeEnemy,BowLightAttacksRangedEnemy,BowHeavyAttacksRangedEnemy,BowHeavyDashesRangedEnemy,BowLightAttacksBomberEnemy,BowHeavyAttacksBomberEnemy,BowHeavyDashesBomberEnemy,BowLightAttacksAssassinEnemy,BowHeavyAttacksAssassinEnemy,BowHeavyDashesAssassinEnemy,BowLightAttacksGuardianEnemy,BowHeavyAttacksGuardianEnemy,BowHeavyDashesGuardianEnemy,KnightLightAttacksMeleeEnemy,KnightHeavyAttacksMeleeEnemy,KnightHeavyDashesMeleeEnemy,KnightLightAttacksRangedEnemy,KnightHeavyAttacksRangedEnemy,KnightHeavyDashesRangedEnemy,KnightLightAttacksBomberEnemy,KnightHeavyAttacksBomberEnemy,KnightHeavyDashesBomberEnemy,KnightLightAttacksAssassinEnemy,KnightHeavyAttacksAssassinEnemy,KnightHeavyDashesAssassinEnemy,KnightLightAttacksGuardianEnemy,KnightHeavyAttacksGuardianEnemy,KnightHeavyDashesGuardianEnemy,BerserkerLightAttacksMeleeEnemy,BerserkerHeavyAttacksMeleeEnemy,BerserkerHeavyDashesMeleeEnemy,BerserkerLightAttacksRangedEnemy,BerserkerHeavyAttacksRangedEnemy,BerserkerHeavyDashesRangedEnemy,BerserkerLightAttacksBomberEnemy,BerserkerHeavyAttacksBomberEnemy,BerserkerHeavyDashesBomberEnemy,BerserkerLightAttacksAssassinEnemy,BerserkerHeavyAttacksAssassinEnemy,BerserkerHeavyDashesAssassinEnemy,BerserkerLightAttacksGuardianEnemy,BerserkerHeavyAttacksGuardianEnemy,BerserkerHeavyDashesGuardianEnemy,GeometryBehavior,FurnishingBehaviorSpread,FurnishingBehaviorRatio,EnemyBehaviorRatio,EnemyBehaviorDifficulty,AttackSpeedMultiplier,MovementSpeedMultiplier,DamageMultiplier,FormChangeCount,FormChangeCountInCombat,OptionalRoomPercentage,AverageDistanceToMainPath,AverageDistanceToWall,AverageDistanceToEnemies,BowDefenseToMelee,BowDefenseToRanged,BowDefenseToBomber,BowDefenseToAssasssin,BowDefenseToGuardian,KnightDefenseToMelee,KnightDefenseToRanged,KnightDefenseToBomber,KnightDefenseToAssasssin,KnightDefenseToGuardian,BerserkerDefenseToMelee,BerserkerDefenseToRanged,BerserkerDefenseToBomber,BerserkerDefenseToAssasssin,BerserkerDefenseToGuardian,PowerUpsTakenPercent
4/8/2026 15:48:25,,d424beb6e894a54d29bb52de3dc5fec7edd67d1b,94.21948242,250,250,16.23376656,18.75,1,3,27,28.5714283,1,0,94.21948242,0,0,0,0,0,0,44,1,0,0,5,0,0,0,0,0,90,40,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,5,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,85,2,0,0,0,1,0,50,3.937736034,2.405937195,8.62551403,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,
4/8/2026 15:51:21,,d424beb6e894a54d29bb52de3dc5fec7edd67d1b,177.8607483,550,550,35.7142868,43.75,4,5,23.79999924,57.1428566,1,0,177.8607483,0,0,0,0,0,0,85,1,1,0,1,0,0,0,0,0,90,70,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,6,0,0,10,0,0,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,85,2,0,0,0,2,0,100,9.478835106,2.656255484,4.180088997,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
4/8/2026 15:54:41,,d424beb6e894a54d29bb52de3dc5fec7edd67d1b,123.5998688,250,250,16.23376656,25,1,1,29,14.28571415,1,50.05077362,58.55072784,14.99866104,11,11,0,0,3,28,3,7,0,4,10,2,0,0,2,80,57.5,45,0,0,16,0,0,0,0,1,6,0,0,1,0,0,11,0,7,0,0,2,0,0,0,0,0,2,0,0,12,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,85,2,0,0,0,16,7,50,5.936278343,3.207528353,7.848993301,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,
4/8/2026 15:55:57,,d424beb6e894a54d29bb52de3dc5fec7edd67d1b,76.98023224,280,280,18.18181801,28.125,2,1,29,14.28571415,1,34.15921402,4.822638512,37.99793243,11,12,2,0,0,0,0,0,0,0,61,0,9,2,1,70,60,25,0,3,13,0,3,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,3,0,0,0,0,0,3,0,0,26,0,1,7,2,1,85,2,0,0,0,10,4,50,8.194840431,2.161248446,2.271627426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/8/2026 15:57:51,,d424beb6e894a54d29bb52de3dc5fec7edd67d1b,113.5788803,370,370,24.02597427,31.25,4,3,25.66666603,35.7142868,1,8.623365402,104.5344696,0.4212022722,4,2,1,0,0,64,8,12,4,3,0,0,0,0,0,90,70,20,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,5,0,4,0,1,4,1,0,4,0,2,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,85,2,0,0,0,5,0,100,8.439801216,2.658551216,2.062182665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
4/8/2026 16:00:53,,d424beb6e894a54d29bb52de3dc5fec7edd67d1b,179.8189545,740,740,48.05194855,62.5,7,6,20.66666603,64.2857132,1,31.30744743,10.51524544,137.9972687,6,6,4,0,0,3,0,0,0,0,200,0,20,6,4,110,50,25,0,4,17,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,9,0,0,11,0,1,12,0,0,36,0,8,7,2,1,85,2,0,0,0,17,3,100,7.664310932,2.610263348,1.943989158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/8/2026 18:11:48,,4036b402136b005f97a637e85f7961f4a1df5e23,362.2565002,1030,1030,66.88311768,75,3,3,19,42.8571434,0,106.1255951,137.8531342,118.2806473,76,11,2,0,0,65,6,10,11,2,55,9,6,8,4,30,37.5,60,20,50,24,0,1,2,0,6,1,0,0,3,0,0,0,0,5,1,2,1,0,1,3,0,1,2,0,1,31,2,20,16,5,0,0,0,0,3,0,2,1,0,1,13,0,5,7,2,1,85,2,1.149999976,1.100000024,1.149999976,28,12,0,6.554191113,4.449065208,7.023402691,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,
4/8/2026 18:15:20,,4036b402136b005f97a637e85f7961f4a1df5e23,215.4616089,1290,1290,55.84415436,70,9,5,52.20000076,84.61538696,0,121.737709,83.07052612,10.65224266,168,6,5,2,0,46,1,7,6,0,4,0,1,1,1,120,0,0,0,159,35,6,0,0,0,0,0,0,0,0,0,0,0,0,45,1,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,55,3,1.299999952,1,1.449999928,15,11,50,6.690890312,2.935259819,3.36504674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/8/2026 18:20:01,,4036b402136b005f97a637e85f7961f4a1df5e23,279.3616333,1560,1560,61.17647171,80,16,18,19,78.125,0,253.357666,26.0013485,0,273,2,2,8,0,7,0,0,3,0,0,0,0,0,0,20,0,0,155,0,0,0,0,0,0,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,2,1.899999857,1.400000095,2.200000048,10,7,66.66666412,8.557215691,2.273735762,2.733234167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/8/2026 18:26:27,,4036b402136b005f97a637e85f7961f4a1df5e23,304.580658,1350,1350,81.8181839,80,27,3,25.66666603,53.84615326,0,290.5913696,13.99002457,0,179,0,7,5,0,6,0,1,2,1,0,0,0,0,0,0,120,0,0,0,0,0,40,0,3,0,0,0,48,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,17,1,1.149999976,1.100000024,1.149999976,5,3,66.66666412,10.09562874,4.979477882,1.512422681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
4/8/2026 18:29:57,,4036b402136b005f97a637e85f7961f4a1df5e23,210.0583191,950,950,62.5,44.11764526,32,12,24.83333397,94.44444275,1,11.83765602,177.676178,20.54611778,2,0,1,0,0,86,0,3,19,1,53,0,0,1,0,0,190,210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,10,0,0,0,0,0,0,65,0,83,0,0,0,0,0,0,0,0,0,0,0,0,57,0,3,4,4,1,113,3,0,0,0,14,12,50,18.77509499,1.518787742,2.001445532,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,
4/8/2026 18:30:42,,4036b402136b005f97a637e85f7961f4a1df5e23,45.9405899,480,480,31.57894707,23.52941132,32,8,30,44.44444275,1,0.04753409699,28.24968719,17.64315987,0,0,0,0,0,13,0,0,5,0,33,0,1,1,0,0,60,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,3,0,17,0,0,0,13,0,2,0,0,0,0,0,0,3,0,1,4,4,1,113,3,0,0,0,13,11,0,18.3767662,1.200523615,0.3685181141,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,
4/8/2026 18:32:59,,4036b402136b005f97a637e85f7961f4a1df5e23,137.0014954,770,770,50.65789413,44.11764526,32,6,30.5,33.33333206,1,0,69.50623322,67.49423981,0,0,0,0,0,15,0,3,9,1,141,0,1,7,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,5,0,32,0,0,0,9,0,3,0,0,0,0,0,0,99,0,15,4,4,1,113,3,0,0,0,25,23,0,17.59379387,1.368813276,1.185998917,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,
4/8/2026 18:38:11,,4036b402136b005f97a637e85f7961f4a1df5e23,311.4138184,2090,2090,137.5,100,37,13,21.92307663,100,0,0.9819822907,144.9593811,165.4788208,0,0,0,0,0,8,0,5,17,0,363,1,11,20,0,0,130,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,124,0,0,0,28,0,5,0,0,0,0,0,0,319,0,27,4,4,1,113,3,1.899999857,1.200000048,1.749999881,78,71,100,16.35076714,1.614937782,1.931571722,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58,
